1111.baidu.com	180.97.93.38
email.baidu.com	220.181.50.166
engine.baidu.com	180.149.131.33
enjoy.baidu.com	180.97.34.232
ent.baidu.com	115.239.210.174, 180.97.33.136
enterprise.baidu.com	115.239.211.228, 180.97.34.67
eva.baidu.com	180.149.131.33
event.baidu.com	180.149.131.33
ews.baidu.com	220.181.50.166
expert.baidu.com	180.149.131.88, 220.181.163.54
ext.baidu.com	180.97.104.214
f.baidu.com	220.181.111.202, 61.135.186.150
f3.baidu.com	180.97.33.34, 180.97.33.41
fa.baidu.com	180.97.33.112
face.baidu.com	180.149.144.41
fanli.baidu.com	180.97.34.226
fang.baidu.com	180.149.133.177
fashion.baidu.com	115.239.210.174, 180.97.33.136
fb.baidu.com	180.149.131.33
fc.baidu.com	220.181.57.236
fcs.baidu.com	106.39.162.254
feed.baidu.com	115.239.217.67, 115.239.217.68
feedback.baidu.com	180.149.131.33
file.baidu.com	180.149.131.33
film.baidu.com	180.149.131.33
finance.baidu.com	115.239.210.174, 180.97.33.136
flash.baidu.com	182.61.35.21
fk.baidu.com	60.190.116.37
flight.baidu.com	106.39.162.155
fm.baidu.com	180.76.141.217, 180.76.183.17
fortune.baidu.com	180.149.131.12
friend.baidu.com	180.149.131.33
front.baidu.com	220.181.164.159
fun.baidu.com	115.239.210.64, 220.181.57.65
fund.baidu.com	115.239.210.174, 180.97.33.136
futures.baidu.com	115.239.210.174, 180.97.33.136
g.baidu.com	180.76.146.58
g1.baidu.com	115.239.210.212
g2.baidu.com	115.239.210.212
fx.baidu.com	180.149.131.33
games.baidu.com	106.39.162.102
game.baidu.com	106.39.162.102
gandalf.baidu.com	220.181.57.55
gate.baidu.com	115.239.210.27, 115.239.211.112
ge.baidu.com	182.61.62.50
gk.baidu.com	180.149.133.164, 220.181.57.234
gl.baidu.com	180.149.133.164, 220.181.57.234
gm.baidu.com	180.149.131.68
go.baidu.com	115.239.217.166
global.baidu.com	103.235.46.83
gongyi.baidu.com	106.39.162.252, 117.185.17.97, 202.106.2.54
gse.baidu.com	115.239.210.44
gx.baidu.com	220.181.57.166
h5.baidu.com	119.75.222.180
h2.baidu.com	180.149.133.110
hao123.baidu.com	115.239.217.167
hb.baidu.com	106.120.159.158
hd.baidu.com	180.149.131.33
help.baidu.com	112.34.111.18, 112.34.111.183, 112.80.255.39, 112.80.255.43, 117.185.16.15, 117.185.16.213, 117.185.16.230, 119.75.219.60, 180.149.131.88, 180.149.144.165, 180.149.144.166, 180.97.33.42, 180.97.36.81, 202.106.2.77, 202.106.2.78, 220.181.163.54
hi.baidu.com	180.149.144.125
history.baidu.com	115.239.210.44
hm.baidu.com	106.39.162.247
hk.baidu.com	220.181.57.216, 220.181.57.217
home.baidu.com	115.239.211.31
hollywood.baidu.com	180.97.33.34
hot.baidu.com	180.149.144.203
hotel.baidu.com	115.239.217.82
house.baidu.com	180.97.34.232
hr.baidu.com	180.149.144.205
ht.baidu.com	106.39.162.129, 180.97.104.216
huan.baidu.com	180.149.133.221
hy.baidu.com	106.39.162.104
hw.baidu.com	180.149.132.182
hybrid.baidu.com	112.80.248.29, 180.97.33.142
hydra.baidu.com	14.215.177.61
i.baidu.com	220.181.112.74
hz.baidu.com	115.239.210.48
i1.baidu.com	58.215.118.48
i3.baidu.com	58.215.118.48
i2.baidu.com	58.215.118.48
i4.baidu.com	180.97.64.49
ice.baidu.com	182.61.62.50
id.baidu.com	180.149.131.103
ie.baidu.com	180.149.144.203
iis.baidu.com	180.149.131.33
image.baidu.com	115.239.210.36, 180.97.33.134
im.baidu.com	180.149.144.125
images.baidu.com	115.239.210.36, 180.97.33.134
img.baidu.com	115.239.211.92
info.baidu.com	115.239.210.223
inside.baidu.com	123.125.65.230
intel.baidu.com	180.149.131.33
ipv6.baidu.com	111.13.101.208, 123.125.114.144, 220.181.57.216, 220.181.57.217
ir.baidu.com	88.221.134.179, 88.221.134.242
is.baidu.com	180.149.131.33
ismart.baidu.com	180.149.131.33
ivr.baidu.com	180.97.93.58
ix.baidu.com	182.61.35.21
j.baidu.com	220.181.57.166
japan.baidu.com	180.149.131.33
jiaju.baidu.com	60.28.244.21, 60.28.244.22, 60.28.244.23, 60.28.244.24, 60.28.244.25, 60.28.244.26, 60.28.244.27, 60.28.244.28, 60.28.244.29, 60.28.244.30, 60.28.244.31
jia.baidu.com	220.181.57.166
jingyan.baidu.com	106.39.162.97, 220.181.164.104
jn.baidu.com	180.149.132.81
job.baidu.com	115.239.210.44
jp.baidu.com	119.63.198.132
jr.baidu.com	106.39.162.91, 180.97.36.44
js.baidu.com	202.106.2.53
jump.baidu.com	180.149.131.33
just.baidu.com	180.97.33.34
k.baidu.com	202.108.23.47
kaoshi.baidu.com	14.215.177.118
ke.baidu.com	180.149.133.164, 220.181.57.234
kehu.baidu.com	220.181.112.228
kf.baidu.com	180.149.144.111
kid.baidu.com	180.149.131.33
kids.baidu.com	180.149.144.48
king.baidu.com	180.76.141.217, 180.76.183.17
kk.baidu.com	119.75.222.131
ko.baidu.com	180.97.104.164
korea.baidu.com	180.149.131.33
ks.baidu.com	111.13.108.103, 118.26.21.72
ku.baidu.com	180.149.131.88, 220.181.163.54
l.baidu.com	180.149.144.203
lab.baidu.com	220.181.57.55
kw.baidu.com	111.13.101.208, 123.125.114.144, 180.149.132.47, 220.181.57.217
lady.baidu.com	115.239.210.174, 180.97.33.136
laser.baidu.com	220.181.57.55
law.baidu.com	220.181.163.8, 61.135.162.7
lbc.baidu.com	220.181.164.50
learning.baidu.com	180.149.133.164, 220.181.57.234
lc.baidu.com	180.149.133.221
lian.baidu.com	180.149.131.73
life.baidu.com	220.181.163.215
light.baidu.com	180.76.141.65
live.baidu.com	180.149.131.12
logo.baidu.com	180.76.168.75
lottery.baidu.com	220.181.57.55
love.baidu.com	180.149.131.33
ls.baidu.com	106.39.162.241, 14.215.178.168
lu.baidu.com	115.239.217.166
lvyou.baidu.com	115.239.217.166
lv.baidu.com	115.239.217.166
ly.baidu.com	115.239.217.166
m.baidu.com	115.239.217.67, 115.239.217.68
m2.baidu.com	115.239.217.67, 115.239.217.68
m5.baidu.com	115.239.217.67, 115.239.217.68
m4.baidu.com	115.239.217.67, 115.239.217.68
m3.baidu.com	115.239.217.67, 115.239.217.68
ma.baidu.com	180.149.131.26
m6.baidu.com	115.239.217.67, 115.239.217.68
m1.baidu.com	115.239.217.67, 115.239.217.68
mai.baidu.com	220.181.57.55
mama.baidu.com	180.149.131.88, 220.181.163.54
map.baidu.com	180.97.33.128, 180.97.34.157
maps.baidu.com	180.97.33.128, 180.97.34.157
marketing.baidu.com	180.97.33.25
market.baidu.com	220.181.163.10
mb.baidu.com	115.239.210.225, 115.239.217.138
mbc.baidu.com	180.97.33.128
mc.baidu.com	115.239.210.212
mbox.baidu.com	182.61.35.21
mck.baidu.com	119.75.222.131
mcp.baidu.com	112.34.111.31, 123.125.115.159, 14.215.177.54
md.baidu.com	180.149.131.33
media.baidu.com	180.149.131.88, 220.181.163.54
meet.baidu.com	220.181.50.175
mem.baidu.com	106.39.162.104
member.baidu.com	106.39.162.104
mi.baidu.com	180.97.93.43
mil.baidu.com	115.239.210.174, 180.97.33.136
mini.baidu.com	180.149.144.203
mms.baidu.com	115.239.210.27, 115.239.211.112
moa.baidu.com	115.239.211.31, 183.232.232.54, 202.106.2.51
mo.baidu.com	180.149.132.232, 220.181.112.197
mobile.baidu.com	115.239.217.112
mobi.baidu.com	115.239.210.124
money.baidu.com	115.239.210.174, 180.97.33.136
more.baidu.com	180.149.131.12
movie.baidu.com	115.239.210.38
mp.baidu.com	106.39.162.102
mp3.baidu.com	182.61.35.21
mr.baidu.com	180.149.132.232, 220.181.112.197
msc.baidu.com	106.39.162.42
msg.baidu.com	180.97.104.218, 180.97.36.39
mse.baidu.com	115.239.211.137
msp.baidu.com	180.97.66.48
music.baidu.com	182.61.35.21
mw.baidu.com	220.181.163.215
mx10.baidu.com	111.202.115.75
mx1.baidu.com	61.135.163.61
mx15.baidu.com	220.181.50.182
mx3.baidu.com	61.135.162.61
mx.baidu.com	61.135.163.61
mx11.baidu.com	111.202.115.74
mx4.baidu.com	61.135.162.62
mx2.baidu.com	61.135.163.62
my.baidu.com	180.149.144.203
mx6.baidu.com	202.108.22.171
navi.baidu.com	115.239.210.197
nc.baidu.com	112.34.111.20, 180.97.104.48
nba.baidu.com	180.97.104.167
nb.baidu.com	220.181.57.166
news.baidu.com	115.239.210.174, 180.97.33.136
newsletter.baidu.com	180.76.185.16
next.baidu.com	180.97.104.167
nm.baidu.com	220.181.163.64, 220.181.57.71
note.baidu.com	180.149.145.241
ns1.baidu.com	202.108.22.220
ns2.baidu.com	61.135.165.235
ns4.baidu.com	220.181.38.10
ns6.baidu.com	220.181.166.2
ns5.baidu.com	220.181.166.1
ns8.baidu.com	111.206.37.164
ns7.baidu.com	180.76.76.92
ns3.baidu.com	220.181.37.10
oak.baidu.com	119.75.222.180
offline.baidu.com	202.106.2.66
oms.baidu.com	106.39.162.228
online.baidu.com	180.149.131.88, 220.181.163.54
op.baidu.com	220.181.57.166
open.baidu.com	115.239.210.44
openbook.baidu.com	180.149.131.33
or.baidu.com	180.149.131.88, 220.181.163.54
orange.baidu.com	58.215.118.48
oscar.baidu.com	180.97.33.34
owa.baidu.com	220.181.50.166
p2p.baidu.com	115.239.210.38
pa.baidu.com	180.149.132.45
page.baidu.com	115.239.210.194
pai.baidu.com	180.97.33.91
pan.baidu.com	180.149.145.241
panorama.baidu.com	115.239.210.232, 180.97.33.91
passport.baidu.com	180.97.104.218, 180.97.36.39
partner.baidu.com	220.181.57.166
payment.baidu.com	220.181.163.215
pay.baidu.com	220.181.163.227
pc.baidu.com	180.149.131.33
pcs.baidu.com	58.217.200.64
pda.baidu.com	115.239.217.67, 115.239.217.68
people.baidu.com	180.149.131.33
photo.baidu.com	106.39.162.253
photos.baidu.com	115.239.210.36, 180.97.33.134
pi.baidu.com	180.149.131.104, 180.149.131.245, 180.149.133.165
pictures.baidu.com	106.39.162.253
picture.baidu.com	115.239.210.36, 180.97.33.134
pim.baidu.com	115.239.217.178
ping.baidu.com	220.181.112.163
pk.baidu.com	106.39.162.102
play.baidu.com	182.61.35.21
player.baidu.com	220.181.163.144
po.baidu.com	180.149.132.232, 220.181.112.197
policy.baidu.com	123.125.115.231, 180.101.212.24, 183.232.232.53
pos.baidu.com	115.239.210.141
portfolio.baidu.com	106.39.162.54
post.baidu.com	180.97.104.167
power.baidu.com	180.149.131.104, 180.149.131.245, 180.149.133.165
pp.baidu.com	106.39.162.253
pro.baidu.com	220.181.112.247
print.baidu.com	202.108.250.218
product.baidu.com	106.39.162.118
promotion.baidu.com	220.181.57.166
proxy.baidu.com	220.181.37.10
psc.baidu.com	115.239.210.76
psa.baidu.com	115.239.210.34, 220.181.57.146
public.baidu.com	103.235.46.33
publish.baidu.com	220.181.7.186
pt.baidu.com	111.13.101.208, 123.125.114.144, 180.149.132.47, 220.181.57.217
purple.baidu.com	220.181.57.55
push.baidu.com	123.125.115.34
pw.baidu.com	180.149.131.33
qa.baidu.com	220.181.112.38
qb.baidu.com	220.181.163.215
qing.baidu.com	61.135.185.212
quan.baidu.com	220.181.57.55
r.baidu.com	180.149.131.33
rainbow.baidu.com	180.97.104.172
rcs.baidu.com	220.181.57.6
reader.baidu.com	180.149.131.33
register.baidu.com	180.97.104.103
ren.baidu.com	115.239.211.92
reports.baidu.com	115.239.217.37
release.baidu.com	115.239.210.141
research.baidu.com	166.62.81.209
retail.baidu.com	106.39.162.128
risk.baidu.com	123.125.115.231
rj.baidu.com	180.97.33.121
root.baidu.com	180.149.131.33
rsa.baidu.com	115.239.211.31, 183.232.232.54, 202.106.2.51
rss.baidu.com	115.239.211.32
run.baidu.com	180.149.131.33
sac.baidu.com	111.13.100.150, 123.125.115.174, 123.125.115.209, 220.181.57.166
safe.baidu.com	180.101.212.32, 180.97.36.14
safety.baidu.com	180.149.131.33
sales.baidu.com	180.97.33.34
sam.baidu.com	111.206.37.106
scholar.baidu.com	115.239.210.27, 115.239.211.112
sds.baidu.com	14.215.177.162
search.baidu.com	180.149.131.33
sec.baidu.com	202.106.2.63
sd.baidu.com	103.235.46.69
sem.baidu.com	58.211.137.1
service.baidu.com	112.34.111.18, 112.34.111.183, 112.80.255.39, 112.80.255.43, 117.185.16.15, 117.185.16.213, 117.185.16.230, 119.75.219.60, 180.149.131.88, 180.149.144.165, 180.149.144.166, 180.97.33.42, 180.97.36.81, 202.106.2.77, 202.106.2.78, 220.181.163.54
sg.baidu.com	220.181.111.154
share.baidu.com	180.149.131.74
shipin.baidu.com	115.239.210.38
shop.baidu.com	180.149.131.88, 220.181.163.54
shouji.baidu.com	115.239.211.220, 115.239.211.221
show.baidu.com	106.39.162.102
sip.baidu.com	220.181.50.172
site.baidu.com	115.239.217.167
sitemap.baidu.com	220.181.7.186
sj.baidu.com	115.239.210.22
sl.baidu.com	220.181.57.55
sm.baidu.com	220.181.163.215
sme.baidu.com	220.181.164.159
sn.baidu.com	115.239.217.135
soft.baidu.com	115.239.217.93
song.baidu.com	180.97.34.232
source.baidu.com	106.120.159.176
space.baidu.com	180.149.144.125
spaces.baidu.com	180.149.144.125
speech.baidu.com	115.239.211.171
spark.baidu.com	61.135.185.244
sports.baidu.com	115.239.210.174, 180.97.33.136
ss.baidu.com	115.239.210.59
sr.baidu.com	180.149.131.33
ssp.baidu.com	123.125.112.203
star.baidu.com	202.106.2.53
stat.baidu.com	61.135.166.56
stock.baidu.com	115.239.210.174, 180.97.33.136
store.baidu.com	180.149.131.88, 220.181.163.54
stu.baidu.com	115.239.210.36, 180.97.33.134
study.baidu.com	180.76.171.169
su.baidu.com	58.211.137.1
support.baidu.com	220.181.112.212
survey.baidu.com	202.108.22.67
sv.baidu.com	180.97.36.22
sy.baidu.com	115.239.210.44
t1.baidu.com	58.215.118.48
t.baidu.com	180.97.34.232
t3.baidu.com	58.215.118.48
t2.baidu.com	58.215.118.48
t5.baidu.com	220.181.57.78
tag.baidu.com	115.239.211.228, 180.97.34.67
t4.baidu.com	58.215.118.48
talent.baidu.com	180.149.144.205
tech.baidu.com	115.239.210.174, 180.97.33.136
test.baidu.com	180.76.134.214
tf.baidu.com	180.97.64.37
tg.baidu.com	180.149.132.183
thailand.baidu.com	103.235.46.165
th.baidu.com	111.13.101.208, 123.125.114.144, 180.149.132.47, 220.181.57.217
tm.baidu.com	220.181.7.190
token.baidu.com	115.239.210.223
tongji.baidu.com	220.181.7.190
top.baidu.com	115.239.210.27, 115.239.211.112
topic.baidu.com	180.97.33.34
touch.baidu.com	106.39.162.53
trade.baidu.com	106.39.162.54
travel.baidu.com	115.239.217.166
trend.baidu.com	220.181.7.190
trip.baidu.com	115.239.217.166
translate.baidu.com	111.13.101.208, 123.125.114.144, 220.181.57.216, 220.181.57.217
trust.baidu.com	115.239.211.47, 180.149.131.246
ts.baidu.com	61.135.162.116
tts.baidu.com	115.239.211.61
tu.baidu.com	115.239.210.36, 180.97.33.134
tuan.baidu.com	180.149.132.183
tv.baidu.com	180.149.144.48
tw.baidu.com	220.181.57.216, 220.181.57.217
u.baidu.com	220.181.32.71
ue.baidu.com	220.181.57.55
um.baidu.com	180.149.132.76
union.baidu.com	180.149.132.228
update.baidu.com	112.80.255.221, 117.185.16.253, 180.97.104.132
usa.baidu.com	166.62.81.209
v.baidu.com	115.239.210.38
velocity.baidu.com	119.75.222.175
vc.baidu.com	61.135.165.169
vcs.baidu.com	61.135.165.170
verify.baidu.com	220.181.111.155
video.baidu.com	115.239.210.38
vip.baidu.com	180.97.34.226
vis.baidu.com	180.97.93.101
vod.baidu.com	220.181.163.144
voice.baidu.com	180.97.36.17
vote.baidu.com	115.239.210.44
vpn.baidu.com	220.181.50.247
vs.baidu.com	115.239.210.44
vv.baidu.com	180.97.36.22
w.baidu.com	220.181.57.216, 220.181.57.217
wallet.baidu.com	220.181.163.215
wall.baidu.com	123.125.115.231
wan.baidu.com	106.39.162.102
wap.baidu.com	220.181.7.233, 220.181.7.234
watch.baidu.com	115.239.210.44
we.baidu.com	180.149.131.33
webdev.baidu.com	180.76.239.249
webmaster.baidu.com	220.181.7.186
wenku.baidu.com	180.149.133.164, 220.181.57.234
white.baidu.com	220.181.57.166
whois.baidu.com	180.149.144.177
wifi.baidu.com	180.97.104.162
wk.baidu.com	180.149.133.164, 220.181.57.234
wm.baidu.com	220.181.163.64, 220.181.57.71
wms.baidu.com	182.61.22.11, 182.61.26.32, 182.61.34.221, 182.61.40.94
wo.baidu.com	180.149.144.203
word.baidu.com	119.75.222.180
world.baidu.com	180.149.131.33
writing.baidu.com	180.149.131.33
www.baidu.com	115.239.210.27, 115.239.211.112
ww.baidu.com	220.181.57.216, 220.181.57.217
www1.baidu.com	115.239.210.27, 115.239.211.112
www10.baidu.com	220.181.111.148, 220.181.112.143
www2.baidu.com	220.181.112.6
www5.baidu.com	119.75.217.56, 119.75.218.77
www6.baidu.com	61.135.169.105, 61.135.169.125
www9.baidu.com	61.135.169.105, 61.135.169.125
www7.baidu.com	119.75.217.56, 119.75.218.77
wwww.baidu.com	220.181.57.216, 220.181.57.217
www8.baidu.com	220.181.111.148, 220.181.112.143
x.baidu.com	182.61.13.127
wz.baidu.com	180.97.104.161
xi.baidu.com	180.97.34.175
xf.baidu.com	115.239.210.77
xiazai.baidu.com	180.149.131.33
xian.baidu.com	180.97.33.34
xin.baidu.com	180.97.104.30, 180.97.33.124
xs.baidu.com	115.239.217.67, 115.239.217.68
xy.baidu.com	123.125.115.231
xz.baidu.com	111.13.12.169, 180.97.33.80
y.baidu.com	180.76.141.217, 180.76.183.17
xmpp.baidu.com	61.135.165.169
yc.baidu.com	180.97.34.232
yb.baidu.com	115.239.210.48
yd.baidu.com	180.149.133.164, 220.181.57.234
yellow.baidu.com	220.181.57.55
yh.baidu.com	111.206.37.111
yk.baidu.com	180.149.133.164, 220.181.57.234
yl.baidu.com	202.106.2.50
you.baidu.com	115.239.217.166
young.baidu.com	180.149.131.33
yq.baidu.com	220.181.57.166
ys.baidu.com	180.149.131.33
yt.baidu.com	106.39.162.102
yule.baidu.com	115.239.210.174, 180.97.33.136
yun.baidu.com	180.149.145.241
yuedu.baidu.com	180.149.133.164, 220.181.57.234
yx.baidu.com	106.39.162.102
z.baidu.com	180.149.131.104, 180.149.131.245, 180.149.133.165
yz.baidu.com	115.239.211.97, 115.239.217.14
yy.baidu.com	115.239.211.171
zd.baidu.com	180.149.133.150
zc.baidu.com	115.239.211.33
zhanzhang.baidu.com	220.181.7.186
zhaopin.baidu.com	115.239.210.44
zhidao.baidu.com	180.149.131.104, 180.149.131.245, 180.149.133.165
zf.baidu.com	220.181.163.215
zn.baidu.com	220.181.7.186
zj.baidu.com	180.97.33.121
zp.baidu.com	119.75.222.131
zt.baidu.com	14.215.177.244
zw.baidu.com	180.149.131.88, 220.181.163.54
zz.baidu.com	220.181.7.186
1.my.baidu.com	180.149.144.203
2.media.baidu.com	180.149.131.88, 220.181.163.54
2.my.baidu.com	180.149.144.203
3.media.baidu.com	180.149.131.88, 220.181.163.54
3.my.baidu.com	180.149.144.203
3g.media.baidu.com	180.149.131.88, 220.181.163.54
3g.my.baidu.com	180.149.144.203
a.m.baidu.com	111.13.12.30
a.media.baidu.com	180.149.131.88, 220.181.163.54
a.my.baidu.com	180.149.144.203
a.x.baidu.com	180.97.33.98
activity.media.baidu.com	180.149.131.88, 220.181.163.54
activity.my.baidu.com	180.149.144.203
adm.media.baidu.com	180.149.131.88, 220.181.163.54
adm.my.baidu.com	180.149.144.203
admin.media.baidu.com	180.149.131.88, 220.181.163.54
admin.my.baidu.com	180.149.144.203
admin.source.baidu.com	106.120.159.175
admin.xf.baidu.com	115.239.210.77
adminht.media.baidu.com	180.149.131.88, 220.181.163.54
adminht.my.baidu.com	180.149.144.203
api.banner.baidu.com	180.97.36.41
api.bes.baidu.com	180.149.132.83
api.cct.baidu.com	220.181.57.166
api.data.baidu.com	111.13.100.75
api.hi.baidu.com	180.149.132.155
api.im.baidu.com	106.120.159.182, 180.149.131.103
api.m.baidu.com	115.239.210.27, 115.239.211.112
api.map.baidu.com	115.239.210.237
api.mb.baidu.com	180.149.144.203
api.media.baidu.com	180.149.131.88, 220.181.163.54
api.my.baidu.com	180.149.144.203
api.open.baidu.com	115.239.210.44
api.push.baidu.com	106.39.162.163
api.safe.baidu.com	106.39.162.51
api.share.baidu.com	180.149.132.165
api.su.baidu.com	106.39.162.232, 111.202.114.187
api.tv.baidu.com	180.149.131.33
api.video.baidu.com	180.149.131.33
app.image.baidu.com	220.181.164.25
app.lbc.baidu.com	180.149.131.33
app.m.baidu.com	115.239.211.220, 115.239.211.221
app.media.baidu.com	180.149.131.88, 220.181.163.54
app.news.baidu.com	115.239.210.174, 180.97.33.136
app.navi.baidu.com	115.239.211.183
app.open.baidu.com	115.239.210.44
app.safe.baidu.com	106.39.162.51
app.video.baidu.com	115.239.210.48
apps.hi.baidu.com	180.149.132.155
apps.media.baidu.com	180.149.131.88, 220.181.163.54
apps.mp3.baidu.com	180.149.131.33
apps.my.baidu.com	180.149.144.203
assets.my.baidu.com	180.149.144.203
auth.media.baidu.com	180.149.131.88, 220.181.163.54
auth.my.baidu.com	180.149.144.203
autodiscover.media.baidu.com	180.149.131.88, 220.181.163.54
autodiscover.my.baidu.com	180.149.144.203
b.my.baidu.com	180.149.144.203
